MONTH,PROJECTS,CHAIN,SYMBOL,AVG_APY,AVG_BASE_APY,AVG_REWARD_APY,AVG_TVL_USD,POOL_COUNT
2025-10-01T00:00:00.000Z,stream-finance,Ethereum,USDC,15.29,15.29,,221263465.75,4
2025-10-01T00:00:00.000Z,midas-rwa,Ethereum,MSYRUPUSDP,6.06,6.06,,200476620.333333,3
2025-10-01T00:00:00.000Z,merkl,Ethereum,BBQUSDC-USDC,0.348205,,0.348205,198177168,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,BBQUSDC,7.2686425,6.904145,0.364495,198176579.25,4
2025-10-01T00:00:00.000Z,resolv,Ethereum,STUSR,6.137445,6.137445,,188528418,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,DAI-USDC-USDT,0.0001925,0,0.0001925,177697437.25,4
2025-10-01T00:00:00.000Z,aave-v3,Ethereum,SGHO,8.324955,,,173971973.25,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,USDC-HYPERUSDC,0.346285,,0.346285,166082045.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,HYPERUSDC,9.5964925,9.5964925,0,166081283.75,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,USDT,0.3375075,,0.3375075,161392651.5,4
2025-10-01T00:00:00.000Z,yieldfi,Ethereum,YUSD,9.7625,9.7625,,154433188.75,4
2025-10-01T00:00:00.000Z,fluid-lending,Ethereum,USDC,5.4475,4.13625,1.31125,143207205.125,8
2025-10-01T00:00:00.000Z,pendle,Arbitrum,USDAI,41.10742875,40.52032625,1.174205,133800326.75,8
2025-10-01T00:00:00.000Z,merkl,Ethereum,GTUSDC-USDC,0.350845,,0.350845,133404446,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,GTUSDC,5.6604925,5.2959975,0.364495,133403505,4
2025-10-01T00:00:00.000Z,sparklend,Ethereum,USDS,4.56320625,3.5492675,5.577145,127333064.125,8
2025-10-01T00:00:00.000Z,sparklend,Ethereum,USDT,3.753425,3.753425,,126511857.5,4
2025-10-01T00:00:00.000Z,pendle,Ethereum,SUSDE,13.589364,12.898824,1.381082,124431294.4,10
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,SRUSD,0,,,114970026.875,8
2025-10-01T00:00:00.000Z,sdai,Gnosis,SDAI,6.2263625,,,110082050.75,4
2025-10-01T00:00:00.000Z,fx-protocol,Ethereum,FXUSDSTABILITYPOOLV2.0,11.72,,,105217173.5,4
2025-10-01T00:00:00.000Z,fluid-dex,Ethereum,SUSDE-USDT,2.065835,2.065835,,104911468.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,STEAKUSDT,8.64847,8.3109625,0.3375075,103968009,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,STEAKUSDT-USDT,0.3013875,,0.3013875,103946753.25,4
2025-10-01T00:00:00.000Z,fluid-dex,Ethereum,USDE-USDT,2.2350925,2.2350925,,103922365.5,4
2025-10-01T00:00:00.000Z,merkl,Arbitrum,FGHO-FUSDT-FUSDC-USDC,3.7197375,,3.7197375,99014833.5,4
2025-10-01T00:00:00.000Z,justlend,Tron,USDT,1.663915,1.663915,0,97834276.25,4
2025-10-01T00:00:00.000Z,frax,Ethereum,FPI-FRAX,0.000065,0.000065,,97375770.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,STEAKRUSD,4.371965,4.371965,0,93584246.5,4
2025-10-01T00:00:00.000Z,merkl,Base,STEAKUSDC-USDC,1.1079175,,1.1079175,89181225.666667,12
2025-10-01T00:00:00.000Z,pendle,Ethereum,PUSDE,11.30418375,11.09165,0.4250675,86303634,8
2025-10-01T00:00:00.000Z,merkl,Arbitrum,USDC,2.141594091,,2.141594091,85988229.681818,22
2025-10-01T00:00:00.000Z,reservoir-protocol,Ethereum,WSRUSD,9.50681,,,80742338.25,4
